person_id;origin;destination;mode
1018_1;home;secondary;
1018_1;secondary;home;
1018_2;home;work;
1018_2;work;home;
10190_1;home;secondary;
10190_1;secondary;home;
10191_1;home;work;
10191_1;work;home;
10191_2;home;work;
10191_2;work;home;
10192_1;home;work;
10192_1;work;home;
10192_2;home;work;
10192_2;work;home;
10192_3;home;work;
10192_3;work;home;
10192_4;home;work;
10192_4;work;home;
10193_1;home;work;
10193_1;work;home;
10193_2;home;work;
10193_2;work;home;
10194_1;home;secondary;
10194_1;secondary;home;
10195_1;home;work;
10195_1;work;home;
10195_2;home;work;
10195_2;work;home;
10196_1;home;secondary;
10196_1;secondary;home;
10197_1;home;secondary;
10197_1;secondary;home;
10197_2;home;work;
10197_2;work;home;
10198_1;home;work;
10198_1;work;home;
10198_2;home;work;
10198_2;work;home;
10198_3;home;work;
10198_3;work;home;
10199_1;home;work;
10199_1;work;home;
1019_1;home;work;
1019_1;work;home;
101_1;home;work;
101_1;work;home;
10200_1;home;work;
10200_1;work;home;
10201_1;home;work;
10201_1;work;home;
10201_2;home;work;
10201_2;work;home;
10202_1;home;secondary;
10202_1;secondary;home;
10202_2;home;work;
10202_2;work;home;
10202_3;home;secondary;
10202_3;secondary;home;
10203_1;home;work;
10203_1;work;home;
10203_2;home;work;
10203_2;work;home;
10203_3;home;work;
10203_3;work;home;
10204_1;home;work;
10204_1;work;home;
10204_2;home;secondary;
10204_2;secondary;home;
10205_1;home;work;
10205_1;work;home;
10205_2;home;work;
10205_2;work;home;
10205_4;home;work;
10205_4;work;home;
10206_1;home;work;
10206_1;work;home;
10206_2;home;work;
10206_2;work;home;
10207_1;home;work;
10207_1;work;home;
10207_2;home;work;
10207_2;work;home;
10208_1;home;secondary;
10208_1;secondary;home;
10209_1;home;work;
10209_1;work;home;
1020_1;home;work;
1020_1;work;home;
1020_2;home;work;
1020_2;work;home;
10210_1;home;work;
10210_1;work;home;
10210_2;home;work;
10210_2;work;home;
10211_1;home;work;
10211_1;work;home;
10211_2;home;work;
10211_2;work;home;
10212_1;home;secondary;
10212_1;secondary;home;
10212_2;home;work;
10212_2;work;home;
10212_3;home;work;
10212_3;work;home;
10212_4;home;work;
10212_4;work;home;
10213_1;home;secondary;
10213_1;secondary;home;
10213_2;home;work;
10213_2;work;home;
10214_1;home;work;
10214_1;work;home;
10214_2;home;secondary;
10214_2;secondary;home;
10215_1;home;work;
10215_1;work;home;
10215_2;home;work;
10215_2;work;home;
10216_1;home;work;
10216_1;work;home;
10216_2;home;work;
10216_2;work;home;
10216_4;home;secondary;
10216_4;secondary;home;
10216_5;home;work;
10216_5;work;home;
10217_1;home;work;
10217_1;work;home;
10217_2;home;work;
10217_2;work;home;
10217_3;home;secondary;
10217_3;secondary;home;
10218_1;home;work;
10218_1;work;home;
10218_4;home;work;
10218_4;work;home;
10219_1;home;secondary;
10219_1;secondary;home;
10219_2;home;secondary;
10219_2;secondary;home;
1021_1;home;work;
1021_1;work;home;
1021_2;home;work;
1021_2;work;home;
10220_1;home;secondary;
10220_1;secondary;home;
10221_1;home;work;
10221_1;work;home;
10221_2;home;work;
10221_2;work;home;
10222_1;home;work;
10222_1;work;home;
10223_1;home;secondary;
10223_1;secondary;home;
10223_2;home;work;
10223_2;work;home;
10224_1;home;work;
10224_1;work;home;
10224_2;home;secondary;
10224_2;secondary;home;
10225_1;home;work;
10225_1;work;home;
10225_2;home;work;
10225_2;work;home;
10225_3;home;secondary;
10225_3;secondary;home;
10226_1;home;work;
10226_1;work;home;
10226_2;home;secondary;
10226_2;secondary;home;
10226_3;home;secondary;
10226_3;secondary;home;
10227_1;home;work;
10227_1;work;home;
10227_2;home;work;
10227_2;work;home;
10227_3;home;work;
10227_3;work;home;
10228_1;home;secondary;
10228_1;secondary;home;
10229_1;home;work;
10229_1;work;home;
10229_2;home;secondary;
10229_2;secondary;home;
10229_6;home;work;
10229_6;work;home;
1022_1;home;secondary;
1022_1;secondary;home;
1022_2;home;work;
1022_2;work;home;
10230_1;home;secondary;
10230_1;secondary;home;
10231_1;home;work;
10231_1;work;home;
10231_2;home;work;
10231_2;work;home;
10231_3;home;secondary;
10231_3;secondary;home;
10231_4;home;work;
10231_4;work;home;
10232_1;home;secondary;
10232_1;secondary;home;
10232_2;home;work;
10232_2;work;home;
10233_1;home;work;
10233_1;work;home;
10233_2;home;work;
10233_2;work;home;
10234_1;home;work;
10234_1;work;home;
10234_2;home;work;
10234_2;work;home;
10235_1;home;secondary;
10235_1;secondary;home;
10236_1;home;secondary;
10236_1;secondary;home;
10236_2;home;work;
10236_2;work;home;
10237_1;home;secondary;
10237_1;secondary;home;
10237_5;home;secondary;
10237_5;secondary;home;
10238_1;home;work;
10238_1;work;home;
10239_1;home;work;
10239_1;work;home;
10239_2;home;work;
10239_2;work;home;
1023_1;home;secondary;
1023_1;secondary;home;
1023_2;home;work;
1023_2;work;home;
10240_1;home;work;
10240_1;work;home;
10240_2;home;work;
10240_2;work;home;
10240_3;home;work;
10240_3;work;home;
10240_4;home;work;
10240_4;work;home;
10241_1;home;work;
