iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
179;14:26:24;14:26:24;14:26:24;14:26:24;14:26:24;14:26:24;;;14:26:24;14:26:24;14:26:24;14:26:24;14:26:24;14:26:24;14:26:24;14:26:24;14:26:24;14:26:24;14:26:25;14:26:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
180;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;;;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
181;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;;;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
182;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;;;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
183;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;;;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
184;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;;;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:25;14:26:26;14:26:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
185;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;;;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
186;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;;;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
187;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;;;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
188;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;;;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
189;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;;;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
190;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;;;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:26;14:26:27;14:26:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
191;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;;;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
192;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;;;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
193;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;;;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
194;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;;;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
195;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;;;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;14:26:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
196;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;;;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
197;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;;;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
198;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;;;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
199;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;;;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
200;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
201;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;;;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:28;14:26:29;14:26:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
202;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;;;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
203;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;;;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
204;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;;;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
205;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;;;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
206;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;;;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;14:26:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
207;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;;;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
208;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;;;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
209;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;;;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
210;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;;;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
211;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;;;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;14:26:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
212;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;;;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
213;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;;;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
214;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;;;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
215;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;;;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
216;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;;;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
217;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;;;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:31;14:26:32;14:26:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
218;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;;;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
219;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;;;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
220;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;;;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
221;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;;;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
222;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;;;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:32;14:26:33;14:26:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
223;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;;;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
224;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;;;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
225;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;;;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
226;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;;;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
227;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;;;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;14:26:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
228;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;;;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
229;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;;;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
230;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;;;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
231;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;;;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
232;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;;;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
233;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;;;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:34;14:26:35;14:26:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
234;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;;;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
235;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;;;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
236;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;;;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
237;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;;;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;14:26:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
238;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;;;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
239;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;;;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
240;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;;;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
241;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;;;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
242;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;;;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
243;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;;;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:36;14:26:37;14:26:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
244;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;;;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
245;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;;;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
246;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;;;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
247;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;;;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
248;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;;;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:37;14:26:38;14:26:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
249;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;;;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
250;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
251;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;;;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
252;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;;;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
253;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;;;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:39;14:26:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
254;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;;;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
255;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;;;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
256;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;;;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
257;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;;;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
258;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;;;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:39;14:26:40;14:26:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
259;14:26:40;14:26:40;14:26:40;14:26:40;14:26:40;14:26:40;;;14:26:40;14:26:40;14:26:40;14:26:40;14:26:40;14:26:40;14:26:40;14:26:40;14:26:40;14:26:40;14:26:40;14:26:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
